Kabupaten/Kota,Tahun,Luas Wilayah,Indeks Pembangunan Manusia (IPM),Harapan Lama Sekolah (Tahun),Rata-rata Lama sekolah (Tahun),Angka Partisipasi Sekolah (APS) Usia 7-12 (Persen),Angka Partisipasi Sekolah (APS) Usia 13-15 (Persen),Angka Partisipasi Sekolah (APS) Usia 16-18 (Persen),Angka Partisipasi Sekolah (APS) Usia 19-23 (Persen),Rasio Guru per Siswa,Jumlah Penduduk (Ribu),Persentase Penduduk (Persen),Persentase Penduduk Miskin (Persen),Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja - Agustus,Pengeluaran Per Kapita Riil Disesuaikan (Ribu Rupiah),Persentase Rumah Tangga dengan Akses Air Bersih,Laju Pertumbuhan Penduduk per Tahun (persen),Kepadatan Penduduk per km persegi (km²),Gini Ratio
Magetan,2021,"688,84","75,08","14,04","8,36","99,35","99,22","88,36","28,77","12,27","674,1","1,65","10,66","3,86","73,31",11833,"99,9","0,66",979,"0,357"
Ngawi,2021,"1295,98","71,97","12,83","7,26","99,18","99,4","78,45","16,43","12,21","873,3","2,14","15,57","4,25","72,88",11459,"99,92","0,5",674,"0,309"
Bojonegoro,2021,"2198,79","70,7","12,68","7,38","99,71","98,46","80,22","16,1","12,47","1307,6","3,2","13,27","4,82","71,84",10221,"97,24","0,61",595,"0,34"
Tuban,2021,"1834,15","70,1","12,22","7,18","99,9","94,44","65,55","17,46","13,18","1203,1","2,94","16,31","4,68","73,77",10380,"96,4","0,57",656,"0,345"
Lamongan,2021,"1782,05","73,97","13,77","8,04","99,2","99,31","71,77","29,37","9,73",1356,"3,32","13,86","4,9","70,72",11510,"81,98","1,18",761,"0,292"
Gresik,2021,"1191,25","76,98","13,77","9,56","99,45","99,16","85,67","26,64","14,05","1320,6","3,23","12,42",8,"69,43",13280,"88,99","0,95",1109,"0,313"
Bangkalan,2021,"1001,44","65,42","11,73","5,96","99,3","92,6","51,28","18,7","14,07","1071,7","2,62","21,57","8,07","68,66",8673,"97,39","1,43",1070,"0,303"
Sampang,2021,"1233,08","64,86","12,38","4,86","98,6","93,42","57,29","17,71","11,54",976,"2,39","23,76","3,45","70,19",8790,"89,34","0,87",792,"0,268"
Pamekasan,2021,"792,24","68,78","13,65","6,7","98,52","98,73","75,91","22,04","9,61","853,5","2,09","15,3","3,1","65,88",8804,"89,15","0,54",1077,"0,323"
Sumenep,2021,"1998,54","67,74","13,33","5,92","98,88","96,38","75,96","20,87","7,86","1129,8","2,76","20,51","2,31","75,63",9000,"98,29","0,64",565,"0,294"
Kota Kediri,2021,"63,4","79,15","15,27","10,15","99,48","98,63","87,04","35,13","16,49",288,"0,7","7,75","6,37","67,35",12359,"98,95","0,54",4542,"0,374"
Kota Blitar,2021,"32,57","79,27","14,33","10,35","99,45","97,35","91,17",35,"15,85","150,4","0,37","7,89","6,61","69,96",13816,"97,08","1,09",4617,"0,37"
Kota Malang,2021,"145,28","82,77","15,75","10,41","99,17","96,61","84,3","61,41","15,86","844,9","2,07","4,62","9,65","67,59",16663,"99,93","0,18",5816,"0,407"
Kota Probolinggo,2021,"56,67","75,2","13,6","8,95","99,46","96,91","82,67","25,66","16,18","241,2","0,59","7,44","6,55","69,71",12245,"99,66","0,86",4256,"0,299"
Kota Pasuruan,2021,"35,29","76,83","13,63","9,33","99,27","95,3","75,59","23,28","15,45","209,5","0,51","6,88","6,23","71,66",13354,"99,65","0,98",5937,"0,35"
Kota Mojokerto,2021,"20,21","79,34","14,01","10,47","99,3","98,75","80,02","31,93","15,04","133,3","0,33","6,39","6,87","67,09",13610,"99,63","0,84",6594,"0,334"
Kota Madiun,2021,"33,92","82,27","14,41","11,37","98,08","98,29","96,82","36,79","15,44","196,9","0,48","5,09","8,15","66,87",16095,"99,53","1,19",5805,"0,345"
